,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Invoice Month,Invoice Year,Invoice Day
144,West Gear,1128299,2020-11-05,West,California,San Francisco,Men's Apparel,55.0,575,316250,158125,50%,Outlet,November,2020,Thursday
145,West Gear,1128299,2020-11-06,West,California,San Francisco,Women's Apparel,50.0,775,387500,58125,15%,Outlet,November,2020,Friday
146,West Gear,1128299,2020-11-07,West,California,San Francisco,Men's Street Footwear,40.0,825,330000,115500,35%,Outlet,November,2020,Saturday
147,West Gear,1128299,2020-11-08,West,California,San Francisco,Men's Athletic Footwear,50.0,725,362500,72500,20%,Outlet,November,2020,Sunday
148,West Gear,1128299,2020-11-09,West,California,San Francisco,Women's Street Footwear,50.0,725,362500,126875,35%,Outlet,November,2020,Monday
149,West Gear,1128299,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,50.0,575,287500,86250,30%,Outlet,November,2020,Tuesday
150,West Gear,1128299,2020-11-11,West,California,San Francisco,Men's Apparel,55.0,500,275000,137500,50%,Outlet,November,2020,Wednesday
151,West Gear,1128299,2020-11-12,West,California,San Francisco,Women's Apparel,50.0,700,350000,52500,15%,Outlet,November,2020,Thursday
152,West Gear,1128299,2020-11-13,West,California,San Francisco,Men's Street Footwear,50.0,850,425000,148750,35%,Outlet,November,2020,Friday
153,West Gear,1128299,2020-11-14,West,California,San Francisco,Men's Athletic Footwear,60.0,700,420000,84000,20%,Outlet,November,2020,Saturday
154,West Gear,1128299,2020-11-15,West,California,San Francisco,Women's Street Footwear,60.0,700,420000,147000,35%,Outlet,November,2020,Sunday
155,West Gear,1128299,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,60.0,600,360000,108000,30%,Outlet,December,2020,Tuesday
156,West Gear,1128299,2020-12-23,West,California,San Francisco,Men's Apparel,65.0,500,325000,162500,50%,Outlet,December,2020,Wednesday
157,West Gear,1128299,2020-12-24,West,California,San Francisco,Women's Apparel,60.0,700,420000,63000,15%,Outlet,December,2020,Thursday
158,West Gear,1128299,2020-12-25,West,California,San Francisco,Men's Street Footwear,60.0,875,525000,183750,35%,Outlet,December,2020,Friday
159,West Gear,1128299,2020-12-26,West,California,San Francisco,Men's Athletic Footwear,65.0,675,438750,87750,20%,Outlet,December,2020,Saturday
160,West Gear,1128299,2020-12-27,West,California,San Francisco,Women's Street Footwear,65.0,725,471250,164938,35%,Outlet,December,2020,Sunday
161,West Gear,1128299,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,60.0,625,375000,112500,30%,Outlet,December,2020,Monday
162,West Gear,1128299,2020-12-29,West,California,San Francisco,Men's Apparel,65.0,525,341250,170625,50%,Outlet,December,2020,Tuesday
163,West Gear,1128299,2020-12-30,West,California,San Francisco,Women's Apparel,80.0,700,560000,84000,15%,Outlet,December,2020,Wednesday
164,West Gear,1128299,2020-12-31,West,California,San Francisco,Men's Street Footwear,60.0,900,540000,216000,40%,Outlet,December,2020,Thursday
165,West Gear,1128299,2021-01-01,West,California,San Francisco,Men's Athletic Footwear,65.0,750,487500,121875,25%,Outlet,January,2021,Friday
166,West Gear,1128299,2021-01-02,West,California,San Francisco,Women's Street Footwear,65.0,750,487500,195000,40%,Outlet,January,2021,Saturday
167,West Gear,1128299,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,60.0,650,390000,136500,35%,Outlet,January,2021,Sunday
168,West Gear,1128299,2021-01-04,West,California,San Francisco,Men's Apparel,65.0,550,357500,196625,55%,Outlet,January,2021,Monday
169,West Gear,1128299,2021-01-05,West,California,San Francisco,Women's Apparel,80.0,725,580000,116000,20%,Outlet,January,2021,Tuesday
170,West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,60.0,975,585000,234000,40%,Outlet,January,2021,Wednesday
171,West Gear,1128299,2021-01-07,West,California,San Francisco,Men's Athletic Footwear,65.0,825,536250,134063,25%,Outlet,January,2021,Thursday
172,West Gear,1128299,2021-01-08,West,California,San Francisco,Women's Street Footwear,65.0,825,536250,214500,40%,Outlet,January,2021,Friday
173,West Gear,1128299,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,60.0,700,420000,147000,35%,Outlet,January,2021,Saturday
174,West Gear,1128299,2021-01-10,West,California,San Francisco,Men's Apparel,65.0,575,373750,205563,55%,Outlet,January,2021,Sunday
175,West Gear,1128299,2021-01-11,West,California,San Francisco,Women's Apparel,80.0,875,700000,140000,20%,Outlet,January,2021,Monday
176,West Gear,1128299,2021-01-12,West,California,San Francisco,Men's Street Footwear,60.0,1025,615000,215250,35%,Outlet,January,2021,Tuesday
177,West Gear,1128299,2021-01-13,West,California,San Francisco,Men's Athletic Footwear,65.0,875,568750,113750,20%,Outlet,January,2021,Wednesday
178,West Gear,1128299,2021-01-14,West,California,San Francisco,Women's Street Footwear,65.0,825,536250,187688,35%,Outlet,January,2021,Thursday
179,West Gear,1128299,2021-01-15,West,California,San Francisco,Women's Athletic Footwear,60.0,725,435000,130500,30%,Outlet,January,2021,Friday
180,West Gear,1128299,2021-01-16,West,California,San Francisco,Men's Apparel,65.0,775,503750,251875,50%,Outlet,January,2021,Saturday
181,West Gear,1128299,2021-01-17,West,California,San Francisco,Women's Apparel,80.0,775,620000,93000,15%,Outlet,January,2021,Sunday
182,West Gear,1128299,2021-01-18,West,California,San Francisco,Men's Street Footwear,65.0,975,633750,221813,35%,Outlet,January,2021,Monday
183,West Gear,1128299,2021-01-19,West,California,San Francisco,Men's Athletic Footwear,70.0,925,647500,129500,20%,Outlet,January,2021,Tuesday
184,West Gear,1128299,2021-01-20,West,California,San Francisco,Women's Street Footwear,65.0,800,520000,182000,35%,Outlet,January,2021,Wednesday
185,West Gear,1128299,2021-01-21,West,California,San Francisco,Women's Athletic Footwear,65.0,750,487500,146250,30%,Outlet,January,2021,Thursday
186,West Gear,1128299,2021-01-22,West,California,San Francisco,Men's Apparel,75.0,750,562500,281250,50%,Outlet,January,2021,Friday
187,West Gear,1128299,2021-01-23,West,California,San Francisco,Women's Apparel,80.0,725,580000,87000,15%,Outlet,January,2021,Saturday
188,West Gear,1128299,2021-01-24,West,California,San Francisco,Men's Street Footwear,55.0,925,508750,152625,30%,Outlet,January,2021,Sunday
189,West Gear,1128299,2021-01-25,West,California,San Francisco,Men's Athletic Footwear,60.0,925,555000,83250,15%,Outlet,January,2021,Monday
190,West Gear,1128299,2021-01-26,West,California,San Francisco,Women's Street Footwear,55.0,775,426250,127875,30%,Outlet,January,2021,Tuesday
191,West Gear,1128299,2021-01-27,West,California,San Francisco,Women's Athletic Footwear,55.0,725,398750,99688,25%,Outlet,January,2021,Wednesday
192,West Gear,1128299,2021-01-28,West,California,San Francisco,Men's Apparel,65.0,725,471250,212063,45%,Outlet,January,2021,Thursday
193,West Gear,1128299,2021-01-29,West,California,San Francisco,Women's Apparel,70.0,775,542500,54250,10%,Outlet,January,2021,Friday
194,West Gear,1128299,2021-01-30,West,California,San Francisco,Men's Street Footwear,55.0,875,481250,144375,30%,Outlet,January,2021,Saturday
195,West Gear,1128299,2021-01-31,West,California,San Francisco,Men's Athletic Footwear,60.0,875,525000,78750,15%,Outlet,January,2021,Sunday
196,West Gear,1128299,2021-02-01,West,California,San Francisco,Women's Street Footwear,55.0,700,385000,115500,30%,Outlet,February,2021,Monday
197,West Gear,1128299,2021-02-02,West,California,San Francisco,Women's Athletic Footwear,55.0,675,371250,92813,25%,Outlet,February,2021,Tuesday
198,West Gear,1128299,2021-02-03,West,California,San Francisco,Men's Apparel,65.0,650,422500,190125,45%,Outlet,February,2021,Wednesday
